GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Altitude (GPS)(m),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),Engine RPM(rpm),Speed (OBD)(km/h),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Timing Advance(°),Throttle Position(%),Fuel Level(%),Voltage(V),Miles Per Gallon (diesel support in pro version)(mpg),Turbo Boost Gauge (full support in pro version)(psi),Miles Per Gallon(Average) (diesel support in pro version)(mpg),Kilometers Per Litre(kpl),Kilometers Per Litre(Average)(kpl),Trip Distance(km),Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sat Mar 07 08:08:05 MEZ 2015,07-Mär.-2015 08:08:04.037,6.09677324,50.77796939,0.0,3.0,201.0,0.0,-0.088585466,-8.5143795,4.2143936,-0.012527406,0.0,201.0,-0.012527406215667725,0.32960179448127747,28.627450942993164,19.0,-,100.0,895.5,0.0,8.079999923706055,8.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.01849031262099743,-,-,-0.009030118584632874,-0.8679285645484924,5.0,101.0,Infinity,-
Sat Mar 07 08:08:06 MEZ 2015,07-Mär.-2015 08:08:05.037,6.09677211,50.77796881,0.0,3.0,202.0,0.0,-0.25498247,-8.871715,4.656722,0.04069656,0.0,202.0,0.040696561336517334,0.37469133734703064,28.235294342041016,19.0,-,100.0,897.0,0.0,7.800000190734863,8.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.01859285682439804,-,-,-0.025992095470428467,-0.9043541550636292,5.0,101.0,Infinity,-
Sat Mar 07 08:08:07 MEZ 2015,07-Mär.-2015 08:08:06.037,6.09677256,50.77796889,0.0,4.0,202.0,0.0,-0.23822308,-8.732851,4.5322237,0.022238791,0.0,202.0,0.02223879098892212,0.36200037598609924,28.627450942993164,19.0,-,100.0,896.5,0.0,7.659999847412109,8.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.01862582005560398,-,-,-0.024283695966005325,-0.890198826789856,5.0,101.0,Infinity,-
Sat Mar 07 08:08:08 MEZ 2015,07-Mär.-2015 08:08:07.039,6.09677015,50.77796898,0.0,4.0,202.0,0.0,-0.14784196,-8.719084,4.63697,0.025781453,0.0,202.0,0.025781452655792236,0.37267786264419556,28.627450942993164,19.0,-,100.0,896.0,0.0,7.71999979019165,8.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.018796097487211227,-,-,-0.015070535242557526,-0.8887954354286194,5.0,101.0,Infinity,-
Sat Mar 07 08:08:09 MEZ 2015,07-Mär.-2015 08:08:08.059,6.09677014,50.77796893,0.0,3.0,202.0,0.0,-0.19871874,-8.731653,4.5286326,0.02187246,0.0,202.0,0.0377231240272522,0.37322700023651123,28.235294342041016,19.0,-,100.0,895.5,0.0,7.800000190734863,8.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.018801704049110413,-,-,-0.020256752148270607,-0.890076756477356,5.0,101.0,Infinity,-
Sat Mar 07 08:08:10 MEZ 2015,07-Mär.-2015 08:08:09.039,6.09676868,50.77796868,0.0,4.0,202.0,0.0,-0.17298107,-8.7532015,4.6363716,0.028865993,0.0,202.0,0.0288659930229187,0.37261685729026794,31.764705657958984,19.0,-,100.0,892.0,0.0,7.489999771118164,8.0,-,83.52941131591797,-,14.800000190734863,0.0,-0.1962261199951172,-,0.0,-,0.018908370286226273,-,-,-0.017633136361837387,-0.8922733068466187,5.0,101.0,Infinity,-
Sat Mar 07 08:08:11 MEZ 2015,07-Mär.-2015 08:08:10.045,6.09676795,50.77796766,0.0,3.0,202.0,0.0,-0.16699557,-8.757391,4.618415,0.028377831,0.0,202.0,0.028377830982208252,0.3707864284515381,36.07843017578125,19.0,-,100.0,950.5,0.0,8.970000267028809,8.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.019032973796129227,-,-,-0.0170229934155941,-0.8927003741264343,5.0,101.0,Infinity,-
Sat Mar 07 08:08:12 MEZ 2015,07-Mär.-2015 08:08:11.062,6.09676794,50.77796753,0.0,4.0,202.0,0.0,-0.046088383,-8.628703,5.0984526,0.040663302,0.0,202.0,0.040663301944732666,0.419719934463501,44.313724517822266,19.0,-,100.0,900.0,0.0,9.630000114440918,8.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.0190474521368742,-,-,-0.00469810189679265,-0.8795823454856873,5.0,101.0,Infinity,-
Sat Mar 07 08:08:13 MEZ 2015,07-Mär.-2015 08:08:12.039,6.09676787,50.7779661,0.0,4.0,203.0,0.0,-0.12090719,-8.462905,4.7375264,0.0077319145,0.0,203.0,0.007731914520263672,0.3829282820224762,41.568626403808594,19.0,-,100.0,1016.5,2.0,11.020000457763672,8.0,-,83.52941131591797,-,14.84000015258789,0.6449487209320068,-0.1962261199951172,NaN,0.27419349551200867,NaN,0.019206607714295387,-,-,-0.012324891053140163,-0.8626813888549805,5.0,101.0,364.7027587890625,NaN
Sat Mar 07 08:08:14 MEZ 2015,07-Mär.-2015 08:08:13.072,6.09676773,50.77796609,0.0,5.0,203.0,0.0,0.013766659,-8.6496525,4.8069587,0.027728975,0.0,203.0,0.018657684326171875,0.3750574290752411,42.352943420410156,19.0,-,100.0,978.5,2.0,10.109999656677246,10.0,-,83.52941131591797,-,14.779999732971191,1.4060009717941284,-0.1962261199951172,1.4060009717941284,0.597747266292572,0.597747266292572,0.019216544926166534,-,-,-0.008847074583172798,-0.8795213103294373,5.0,101.0,167.2933349609375,167.2933349609375
