Thu Mar 05 15:53:40 MEZ 2015,05-Mär.-2015 15:53:39.199,10.51865567,52.28581574,0.0,3.0,124.0,0.0,1.922544,7.934983,4.429273,-0.034147143,
Thu Mar 05 15:53:41 MEZ 2015,05-Mär.-2015 15:53:40.199,10.51865572,52.28581587,0.0,3.0,124.0,0.0,0.5859809,2.666542,8.786121,-0.043127477,
Thu Mar 05 15:53:42 MEZ 2015,05-Mär.-2015 15:53:41.199,10.51865594,52.28581575,0.0,3.0,124.0,0.0,-0.47105917,1.1354501,8.842984,-0.0709064,
Thu Mar 05 15:53:43 MEZ 2015,05-Mär.-2015 15:53:42.200,10.51865606,52.28581568,0.0,3.0,124.0,0.0,-0.36870706,1.1695676,8.986636,-0.056441367,
Thu Mar 05 15:53:44 MEZ 2015,05-Mär.-2015 15:53:43.199,10.51865608,52.28581564,0.0,3.0,124.0,0.0,-0.3800795,1.1683705,8.938752,-0.061245143,
Thu Mar 05 15:53:45 MEZ 2015,05-Mär.-2015 15:53:44.200,10.51865607,52.28581564,0.0,3.0,124.0,0.0,-0.3585317,1.0456676,8.801085,-0.07679665,
Thu Mar 05 15:53:46 MEZ 2015,05-Mär.-2015 15:53:45.199,10.51865604,52.285815649999996,0.0,3.0,124.0,0.0,-0.338181,1.0289081,8.871116,-0.06999236,
Thu Mar 05 15:53:47 MEZ 2015,05-Mär.-2015 15:53:46.200,10.51865601,52.28581562,0.0,3.0,124.0,0.0,-0.40043023,1.0696096,8.938153,-0.06246525,
Thu Mar 05 15:53:48 MEZ 2015,05-Mär.-2015 15:53:47.199,10.51865601,52.28581559,0.0,3.0,124.0,0.0,-0.55365914,0.9187749,8.851364,-0.07211852,
Thu Mar 05 15:53:49 MEZ 2015,05-Mär.-2015 15:53:48.199,10.51865593,52.28581555,0.0,3.0,124.0,0.0,-0.50517654,0.7326257,9.431957,-0.015266478,
Thu Mar 05 15:53:50 MEZ 2015,05-Mär.-2015 15:53:49.199,10.51865568,52.28581338,0.5,3.0,124.0,23.5,-0.37349546,0.9032126,8.624513,-0.096217334,
Thu Mar 05 15:53:51 MEZ 2015,05-Mär.-2015 15:53:50.199,10.51864922,52.2858123,0.75,3.0,123.0,181.5,-0.30226797,1.0259154,9.137471,-0.043196738,
Thu Mar 05 15:53:52 MEZ 2015,05-Mär.-2015 15:53:51.200,10.51864593,52.28580971,0.75,4.0,123.0,181.5,-0.40821138,1.1701661,9.3026705,-0.02433741,
Thu Mar 05 15:53:53 MEZ 2015,05-Mär.-2015 15:53:52.200,10.5186479,52.28580686,1.0,3.0,123.0,169.3,-0.049081136,1.1563994,9.532514,-0.002149403,
Thu Mar 05 15:53:54 MEZ 2015,05-Mär.-2015 15:53:53.199,10.51865951,52.28579673,0.75,4.0,122.0,173.5,0.049081136,1.0007763,9.080608,-0.049733818,
Thu Mar 05 15:53:55 MEZ 2015,05-Mär.-2015 15:53:54.199,10.51866314,52.28578036,0.75,3.0,120.0,164.5,-0.05626374,0.9463082,9.028535,-0.055600822,
Thu Mar 05 15:53:56 MEZ 2015,05-Mär.-2015 15:53:55.199,10.51867507,52.28576762,1.0,3.0,120.0,143.0,-0.12689269,1.0857705,9.233837,-0.033159137,
Thu Mar 05 15:53:57 MEZ 2015,05-Mär.-2015 15:53:56.200,10.51868787,52.28576435,0.5,4.0,119.0,143.0,-0.25438392,1.1019313,9.037513,-0.05256003,
Thu Mar 05 15:53:58 MEZ 2015,05-Mär.-2015 15:53:57.199,10.51869016,52.28576589,0.0,3.0,119.0,0.0,-0.5231331,1.9309237,8.869919,-0.054117084,
Thu Mar 05 15:53:59 MEZ 2015,05-Mär.-2015 15:53:58.199,10.51868783,52.28576658,0.25,4.0,119.0,143.0,-0.5303157,2.8173769,8.6712,-0.05002874,
Thu Mar 05 15:54:00 MEZ 2015,05-Mär.-2015 15:53:59.200,10.51866073,52.28576533,1.5,3.0,120.0,283.3,0.073023155,1.3922282,8.771158,-0.07567245,
Thu Mar 05 15:54:01 MEZ 2015,05-Mär.-2015 15:54:00.199,10.5186302,52.28576812,2.25,3.0,120.0,280.9,-0.45489833,1.062427,8.895058,-0.06664497,
Thu Mar 05 15:54:02 MEZ 2015,05-Mär.-2015 15:54:01.200,10.51859091,52.28576605,2.5,3.0,120.0,269.8,-0.23343466,0.7942764,8.810063,-0.07897407,
Thu Mar 05 15:54:03 MEZ 2015,05-Mär.-2015 15:54:02.199,10.51855067,52.28576533,2.75,3.0,119.0,273.4,-0.20590134,0.95947635,8.811859,-0.07719451,
Thu Mar 05 15:54:04 MEZ 2015,05-Mär.-2015 15:54:03.199,10.51849197,52.2857642,3.5,3.0,119.0,269.5,-0.53211135,0.80804306,8.79929,-0.07862282,
Thu Mar 05 15:54:05 MEZ 2015,05-Mär.-2015 15:54:04.199,10.51843436,52.2857637,3.75,3.0,118.0,267.9,0.6715736,0.78410107,9.030929,-0.054420352,
Thu Mar 05 15:54:06 MEZ 2015,05-Mär.-2015 15:54:05.200,10.51837647,52.28576184,3.75,3.0,118.0,266.0,0.08499416,0.58897364,9.584588,-0.0020965338,
Thu Mar 05 15:54:07 MEZ 2015,05-Mär.-2015 15:54:06.200,10.51831971,52.28576122,3.75,3.0,118.0,267.0,-0.4285621,0.6003461,9.01417,-0.059053183,
Thu Mar 05 15:54:08 MEZ 2015,05-Mär.-2015 15:54:07.199,10.51825983,52.28576189,3.75,3.0,118.0,269.5,-0.39683893,0.47165772,8.771158,-0.08469117,
Thu Mar 05 15:54:09 MEZ 2015,05-Mär.-2015 15:54:08.202,10.51820222,52.28576467,3.75,3.0,118.0,272.6,-0.46028528,-0.12928689,9.362526,-0.025370598,
Thu Mar 05 15:54:10 MEZ 2015,05-Mär.-2015 15:54:09.200,10.51814761,52.28576714,3.75,3.0,118.0,273.1,-0.4782418,0.43035775,9.204509,-0.040432632,
Thu Mar 05 15:54:11 MEZ 2015,05-Mär.-2015 15:54:10.200,10.51809882,52.28576835,3.75,3.0,118.0,271.6,-1.846528,2.0416555,8.751406,-0.045816004,
