gps_time,device_time,long,lat,gps_speed_ms,Horizontal Dilution of Precision,altitude, Bearing, G(x), G(y), G(z), G(calibrated),gps_speed_kmh,Altitude (GPS)(m),g_total,Acceleration Sensor(Z axis)(g),engine_load,Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),engine_rpm,speed_obd_kmh,Mass Air Flow Rate(g/s),intake_air_temperature,Timing Advance(°),throttle_position,fuel_level,Voltage(V),kpl,kpl_avg,trip_distance,Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sat Mar 07 11:55:56 MEZ 2015,07-Mär.-2015 11:55:55.476,6.04667187,50.77886653,0.0,4.0,234.0,0.0,0.4141969,-9.426571,2.4372973,0.012411654,0.0,234.0,0.012411653995513916,0.14845028519630432,42.352943420410156,33.0,-,100.0,803.0,0.0,13.989999771118164,39.0,-,83.52941131591797,-,14.680000305175781,0.0,-,0.044573165476322174,-,-,0.042221903800964355,-0.9609144330024719,14.0,100.0,Infinity,-
Sat Mar 07 11:55:57 MEZ 2015,07-Mär.-2015 11:55:56.490,6.04666446,50.77886437,0.0,4.0,234.0,0.0,0.5291186,-9.646837,2.2002714,0.02906257,0.0,234.0,0.02906256914138794,0.12428861856460571,64.70588684082031,33.0,-,101.0,902.5,0.0,12.300000190734863,38.0,-,83.52941131591797,-,14.680000305175781,0.0,-,0.04514839127659798,-,-,0.05393665283918381,-0.9833676815032959,14.0,100.0,Infinity,-
Sat Mar 07 11:55:58 MEZ 2015,07-Mär.-2015 11:55:57.476,6.04666294,50.77886186,0.0,3.0,234.0,0.0,0.87448215,-9.488221,2.0380642,0.012268066,0.0,234.0,0.01226806640625,0.10775374621152878,67.05882263183594,33.0,-,102.0,921.5,1.0,11.329999923706055,37.0,-,83.52941131591797,-,14.619999885559082,0.26669129729270935,NaN,0.04544748738408089,-,-,0.08914190530776978,-0.9671988487243652,14.0,100.0,374.96209716796875,NaN
Sat Mar 07 11:55:59 MEZ 2015,07-Mär.-2015 11:55:58.475,6.04666624,50.77886338,0.5,3.0,234.0,141.0,0.641646,-9.297284,2.510919,0.0028665662,1.7999999523162842,234.0,0.0028665661811828613,0.15595506131649017,44.313724517822266,33.0,-,102.0,937.5,3.0,11.579999923706055,35.0,-,83.52941131591797,-,14.680000305175781,0.78280109167099,0.78280109167099,0.04573517665266991,-,-,0.06540733575820923,-0.9477353692054749,14.0,100.0,127.74525451660156,127.74525451660156
Sat Mar 07 11:56:00 MEZ 2015,07-Mär.-2015 11:55:59.483,6.04667607,50.77887513,0.75,4.0,239.0,52.2,0.93732995,-9.218874,2.7515364,-0.012425721,2.6999998092651367,239.0,-0.012425720691680908,0.11422125995159149,64.31372833251953,33.0,-,104.0,940.5,5.0,10.829999923706055,35.0,-,83.52941131591797,-,14.680000305175781,1.3950196504592896,1.01894211769104,0.04721478745341301,-,-,0.09554841369390488,-0.9397424459457397,14.0,100.0,71.68295288085938,98.14014434814453
Sat Mar 07 11:56:01 MEZ 2015,07-Mär.-2015 11:56:00.474,6.04669174,50.77887735,1.0,4.0,242.0,34.8,-0.1340753,-9.258977,2.6426,6.146431E-4,3.5999999046325684,242.0,6.146430969238281E-4,0.16937819123268127,29.803922653198242,33.0,-,103.0,1084.0,5.0,9.6899995803833,34.0,-,83.52941131591797,-,14.680000305175781,1.5591394901275635,1.1990078687667847,0.04834726080298424,-,-,-0.013667206279933453,-0.9438304305076599,14.0,100.0,64.13738250732422,83.40155792236328
Sat Mar 07 11:56:02 MEZ 2015,07-Mär.-2015 11:56:01.501,6.04669623,50.77888312,0.75,4.0,242.0,23.4,-0.45729253,-9.094974,3.5739446,0.01621461,2.6999998092651367,242.0,0.016214609146118164,0.26431646943092346,31.372549057006836,33.0,-,102.0,899.0,1.0,7.659999847412109,32.0,-,83.52941131591797,-,14.5,0.3944663405418396,1.1990078687667847,0.04906300827860832,-,-,-0.046614933758974075,-0.9271124601364136,14.0,100.0,253.5048370361328,83.40155792236328
Sat Mar 07 11:56:03 MEZ 2015,07-Mär.-2015 11:56:02.474,6.04669144,50.77887092,0.0,3.0,242.0,0.0,-0.18136078,-9.346964,2.666542,0.00998646,0.0,242.0,0.009986460208892822,0.17181876301765442,34.11764907836914,33.0,-,102.0,836.0,0.0,7.610000133514404,30.0,-,83.52941131591797,-,14.5,0.0,1.1990078687667847,0.050461601465940475,-,-,-0.018487336114048958,-0.9527995586395264,14.0,100.0,Infinity,83.40155792236328
Sat Mar 07 11:56:04 MEZ 2015,07-Mär.-2015 11:56:03.473,6.04668726,50.77886782,0.0,3.0,242.0,0.0,0.10055647,-9.467871,3.2842462,0.04059261,0.0,242.0,0.04059261083602905,0.2347855418920517,42.352943420410156,33.0,-,101.0,941.0,0.0,9.300000190734863,30.0,-,83.52941131591797,-,14.5600004196167,0.0,1.1990078687667847,0.050915300846099854,-,-,0.010250404477119446,-0.9651243686676025,14.0,100.0,Infinity,83.40155792236328
Sat Mar 07 11:56:05 MEZ 2015,07-Mär.-2015 11:56:04.476,6.04668854,50.77886512,0.0,3.0,243.0,0.0,-0.3321955,-9.23264,3.09271,0.012122095,0.0,243.0,0.012122094631195068,0.21526095271110535,51.764705657958984,33.0,-,101.0,885.5,1.0,8.520000457763672,31.0,-,83.52941131591797,-,14.5600004196167,0.35464930534362793,1.1990078687667847,0.05122893303632736,-,-,-0.033862944692373276,-0.9411457777023315,14.0,100.0,281.9662170410156,83.40155792236328
