long,lat,gps_speed_ms,gps_speed_kmh,altitude,g_total,engine_load,engine_rpm,throttle_position,intake_air_temperature,fuel_level,kpl,kpl_avg,trip_distance,gps_time,device_time
6.09673817,50.77797785,1.0,3.5999999046325684,209.0,0.04479426145553589,26.27450942993164,965.0,83.52941131591797,9.0,,0.7889326810836792,1.1287561655044556,0.02247815579175949,Sat Mar 07 08:08:18 MEZ 2015,07Mär.2015 08:08:17.048
6.0966813,50.77799847,0.75,2.6999998092651367,210.0,0.03444129228591919,27.45098114013672,899.5,83.52941131591797,7.0,,0.0,1.1287561655044556,0.027098890393972397,Sat Mar 07 08:08:19 MEZ 2015,07Mär.2015 08:08:18.041
6.09663331,50.77801361,0.0,0.0,209.0,3.299117088317871E4,67.8431396484375,906.5,83.52941131591797,7.0,,0.0,1.1287561655044556,0.03087959997355938,Sat Mar 07 08:08:20 MEZ 2015,07Mär.2015 08:08:19.061
6.09663251,50.7780122,0.25,0.8999999761581421,208.0,0.0439034104347229,85.88235473632813,917.0,83.52941131591797,10.0,,1.206714153289795,1.0682696104049683,0.031046293675899506,Sat Mar 07 08:08:21 MEZ 2015,07Mär.2015 08:08:20.048
6.09660798,50.77800491,1.25,4.5,208.0,0.043852150440216064,64.31372833251953,1227.5,83.52941131591797,10.0,,1.7522236108779907,1.144264578819275,0.03295707702636719,Sat Mar 07 08:08:22 MEZ 2015,07Mär.2015 08:08:21.055
6.09662391,50.7779704,2.5,9.0,211.0,0.02134019136428833,64.31372833251953,1883.5,83.52941131591797,13.0,,1.8604077100753784,1.144264578819275,0.03695715218782425,Sat Mar 07 08:08:23 MEZ 2015,07Mär.2015 08:08:22.055
6.09663177,50.77792803,3.25,11.699999809265137,213.0,0.007794678211212158,49.01960754394531,1897.0,30.980392456054688,14.0,,1.8326685428619385,1.2769722938537598,0.04170305281877518,Sat Mar 07 08:08:24 MEZ 2015,07Mär.2015 08:08:23.041
6.09665558,50.77789006,3.75,13.5,214.0,0.049163997173309326,68.62744903564453,1017.0,77.2549057006836,14.0,,2.5049636363983154,1.2769722938537598,0.04624859243631363,Sat Mar 07 08:08:25 MEZ 2015,07Mär.2015 08:08:24.040
6.09667777,50.77784819,4.0,14.399999618530273,215.0,0.024899542331695557,74.11764526367188,1323.0,83.52941131591797,11.0,,3.3277668952941895,1.4421228170394897,0.05116230249404907,Sat Mar 07 08:08:26 MEZ 2015,07Mär.2015 08:08:25.056
6.09669323,50.77780687,4.25,15.299999237060547,214.0,0.056558430194854736,60.39215850830078,1452.0,83.52941131591797,12.0,,3.610834836959839,1.6089468002319336,0.05588647350668907,Sat Mar 07 08:08:27 MEZ 2015,07Mär.2015 08:08:26.041
