long,lat,gps_speed_ms,gps_speed_kmh,speed_obd_kmh,altitude,g_total,engine_load,engine_rpm,throttle_position,intake_air_temperature,fuel_level,kpl,kpl_avg,trip_distance,gps_time,device_time
6.04667537,50.77885971,0.75,2.6999998092651367,2.0,245.0,0.036352336406707764,29.019607543945313,868.0,83.52941131591797,29.0,,0.7889326810836792,1.108717918395996,0.053370848298072815,Sat Mar 07 11:56:08 MEZ 2015,07Mär.2015 11:56:07.500
6.0466716,50.77885457,0.5,1.7999999523162842,0.0,245.0,0.03276950120925903,30.19607925415039,837.5,83.52941131591797,28.0,,0.0,1.108717918395996,0.054001446813344955,Sat Mar 07 11:56:09 MEZ 2015,07Mär.2015 11:56:08.475
6.04667282,50.77885407,0.0,0.0,0.0,245.0,0.024603426456451416,33.33333206176758,828.5,83.52941131591797,28.0,,0.0,1.108717918395996,0.05410390719771385,Sat Mar 07 11:56:10 MEZ 2015,07Mär.2015 11:56:09.495
6.04667467,50.77885188,0.0,0.0,0.0,245.0,0.037414491176605225,35.29411697387695,966.5,83.52941131591797,29.0,,0.0,1.108717918395996,0.054380275309085846,Sat Mar 07 11:56:11 MEZ 2015,07Mär.2015 11:56:10.473
6.04667514,50.77884892,0.0,0.0,1.0,245.0,0.027946412563323975,70.5882339477539,906.5,83.52941131591797,30.0,,0.3183996081352234,1.108717918395996,0.054711222648620605,Sat Mar 07 11:56:12 MEZ 2015,07Mär.2015 11:56:11.473
6.04667086,50.77885191,0.75,2.6999998092651367,6.0,245.0,0.03236198425292969,30.58823585510254,1120.5,83.52941131591797,31.0,,1.6245226860046387,1.1090277433395386,0.05516040325164795,Sat Mar 07 11:56:13 MEZ 2015,07Mär.2015 11:56:12.477
6.04665705,50.77885754,1.25,4.5,6.0,245.0,0.013719677925109863,28.235294342041016,973.0,83.52941131591797,33.0,,2.391777515411377,1.2693713903427124,0.05631841719150543,Sat Mar 07 11:56:14 MEZ 2015,07Mär.2015 11:56:13.474
6.04664049,50.77886057,1.5,5.399999618530273,7.0,245.0,0.03457862138748169,30.58823585510254,991.0,83.52941131591797,29.0,,1.6170707941055298,1.3080047369003296,0.057534072548151016,Sat Mar 07 11:56:15 MEZ 2015,07Mär.2015 11:56:14.492
6.04661158,50.77885831,1.75,6.299999713897705,11.0,245.0,0.05579107999801636,59.607845306396484,1384.0,83.52941131591797,33.0,,1.6643834114074707,1.3436425924301147,0.059588558971881866,Sat Mar 07 11:56:16 MEZ 2015,07Mär.2015 11:56:15.476
6.04657802,50.77885504,2.0,7.199999809265137,14.0,245.0,0.01854652166366577,43.92156982421875,1701.5,83.52941131591797,35.0,,2.121493101119995,1.4143562316894531,0.06198336184024811,Sat Mar 07 11:56:17 MEZ 2015,07Mär.2015 11:56:16.487
6.04653629,50.77884892,2.5,9.0,14.0,245.0,0.13620251417160034,54.11764907836914,926.0,83.52941131591797,31.0,,5.327780246734619,1.740475058555603,0.06500432640314102,Sat Mar 07 11:56:18 MEZ 2015,07Mär.2015 11:56:17.483
6.04647692,50.77883925,3.75,13.5,17.0,245.0,0.14823919534683228,57.25490188598633,1119.0,83.52941131591797,29.0,,3.954380989074707,1.8749891519546509,0.069327712059021,Sat Mar 07 11:56:19 MEZ 2015,07Mär.2015 11:56:18.473
6.04641293,50.77882784,4.25,15.299999237060547,18.0,246.0,0.00533825159072876,43.13725662231445,1217.0,83.52941131591797,32.0,,4.461773872375488,2.0597596168518066,0.07401607185602188,Sat Mar 07 11:56:20 MEZ 2015,07Mär.2015 11:56:19.477
6.04633027,50.77881615,5.25,18.899999618530273,20.0,245.0,0.06415587663650513,40.39215850830078,1295.5,83.52941131591797,31.0,,5.483870029449463,2.2880334854125977,0.07998943328857422,Sat Mar 07 11:56:21 MEZ 2015,07Mär.2015 11:56:20.476
6.04623325,50.77879452,5.25,18.899999618530273,21.0,246.0,0.08381664752960205,37.64706039428711,1331.5,83.52941131591797,30.0,,5.327779769897461,2.2880334854125977,0.08724307268857956,Sat Mar 07 11:56:22 MEZ 2015,07Mär.2015 11:56:21.486
6.04615613,50.77877828,5.25,18.899999618530273,21.0,247.0,0.059037625789642334,54.11764907836914,1411.0,83.52941131591797,31.0,,4.177343845367432,2.5735676288604736,0.09297458827495575,Sat Mar 07 11:56:23 MEZ 2015,07Mär.2015 11:56:22.493
6.04605927,50.77877665,5.75,20.69999885559082,22.0,247.0,0.08177143335342407,73.72549438476563,963.5,83.52941131591797,31.0,,8.087039947509766,2.8798716068267822,0.09980862587690353,Sat Mar 07 11:56:24 MEZ 2015,07Mär.2015 11:56:23.473
6.04596515,50.77877966,6.0,21.599998474121094,24.0,246.0,0.004950881004333496,71.37255096435547,1009.0,83.52941131591797,27.0,,5.070592880249023,2.9951727390289307,0.10645543783903122,Sat Mar 07 11:56:25 MEZ 2015,07Mär.2015 11:56:24.473
6.04582584,50.77881059,6.5,23.399999618530273,25.0,245.0,0.058398425579071045,79.60784149169922,1079.5,83.52941131591797,31.0,,4.70656156539917,3.080742120742798,0.11686613410711288,Sat Mar 07 11:56:26 MEZ 2015,07Mär.2015 11:56:25.477
6.0457256,50.77880786,7.25,26.099998474121094,27.0,245.0,8.840560913085938E4,57.25490188598633,1197.5,83.52941131591797,31.0,,5.460744857788086,3.194075345993042,0.12394267320632935,Sat Mar 07 11:56:27 MEZ 2015,07Mär.2015 11:56:26.479
6.04560718,50.7788092,7.75,27.899999618530273,29.0,244.0,0.03620487451553345,48.6274528503418,1225.5,83.52941131591797,29.0,,7.159048557281494,3.3586127758026123,0.13229627907276154,Sat Mar 07 11:56:28 MEZ 2015,07Mär.2015 11:56:27.477
6.04550491,50.77880281,8.0,28.799999237060547,30.0,244.0,0.03218013048171997,49.411766052246094,1250.0,83.52941131591797,29.0,,7.6432013511657715,3.5448992252349854,0.13954441249370575,Sat Mar 07 11:56:29 MEZ 2015,07Mär.2015 11:56:28.491
6.04540378,50.77880387,8.25,29.69999885559082,29.0,244.0,0.2057902216911316,72.54901885986328,1025.0,83.52941131591797,28.0,,10.738572120666504,3.8446359634399414,0.14667817950248718,Sat Mar 07 11:56:30 MEZ 2015,07Mär.2015 11:56:29.473
6.0452878,50.77881379,8.25,29.69999885559082,31.0,244.0,0.013139963150024414,87.05882263183594,890.5,83.52941131591797,29.0,,6.857246398925781,3.954746723175049,0.15493245422840118,Sat Mar 07 11:56:31 MEZ 2015,07Mär.2015 11:56:30.475
6.04515741,50.77882726,8.75,31.5,32.0,244.0,0.057664692401885986,63.52941131591797,939.5,83.52941131591797,29.0,,8.139022827148438,4.11568021774292,0.16425025463104248,Sat Mar 07 11:56:32 MEZ 2015,07Mär.2015 11:56:31.483
6.04503079,50.77884729,9.0,32.39999771118164,33.0,245.0,0.03608793020248413,66.2745132446289,965.0,83.52941131591797,28.0,,8.716188430786133,4.286069393157959,0.1734546571969986,Sat Mar 07 11:56:33 MEZ 2015,07Mär.2015 11:56:32.473
6.04489032,50.77886006,9.0,32.39999771118164,33.0,245.0,0.050314366817474365,61.960784912109375,978.0,83.52941131591797,28.0,,8.934874534606934,4.452098369598389,0.183463454246521,Sat Mar 07 11:56:34 MEZ 2015,07Mär.2015 11:56:33.482
6.04476394,50.77886328,9.25,33.29999923706055,34.0,245.0,0.12334376573562622,58.039215087890625,994.0,83.52941131591797,28.0,,9.348027229309082,4.60987663269043,0.19238433241844177,Sat Mar 07 11:56:35 MEZ 2015,07Mär.2015 11:56:34.472
6.04463222,50.77887407,9.5,34.20000076293945,34.0,245.0,0.03286784887313843,58.039215087890625,999.5,83.52941131591797,28.0,,9.272095680236816,4.765283584594727,0.20175187289714813,Sat Mar 07 11:56:36 MEZ 2015,07Mär.2015 11:56:35.476
6.0444871,50.77888871,9.5,34.20000076293945,35.0,245.0,0.04727810621261597,56.47058868408203,1013.0,83.52941131591797,28.0,,9.519030570983887,4.765283584594727,0.2121160626411438,Sat Mar 07 11:56:37 MEZ 2015,07Mär.2015 11:56:36.473
6.04436603,50.77889589,9.5,34.20000076293945,35.0,245.0,0.011841773986816406,55.686275482177734,1010.0,83.52941131591797,28.0,,9.570717811584473,4.925698757171631,0.2206925004720688,Sat Mar 07 11:56:38 MEZ 2015,07Mär.2015 11:56:37.474
6.04423507,50.77890859,9.75,35.099998474121094,35.0,245.0,0.10066908597946167,54.509803771972656,1020.5,83.52941131591797,28.0,,9.720260620117188,5.075529098510742,0.2300366312265396,Sat Mar 07 11:56:39 MEZ 2015,07Mär.2015 11:56:38.473
6.04408614,50.77891488,9.75,35.099998474121094,35.0,244.0,0.10704225301742554,54.509803771972656,1024.0,83.52941131591797,28.0,,9.544804573059082,5.21096134185791,0.24056406319141388,Sat Mar 07 11:56:40 MEZ 2015,07Mär.2015 11:56:39.473
6.04396022,50.77892448,9.75,35.099998474121094,36.0,244.0,0.012071669101715088,53.72549057006836,1033.5,83.52941131591797,28.0,,9.915955543518066,5.349343776702881,0.2495092749595642,Sat Mar 07 11:56:41 MEZ 2015,07Mär.2015 11:56:40.473
6.043822,50.77893731,9.75,35.099998474121094,36.0,244.0,0.03383082151412964,52.54901885986328,1044.0,83.52941131591797,27.0,,9.721004486083984,5.47424840927124,0.25936195254325867,Sat Mar 07 11:56:42 MEZ 2015,07Mär.2015 11:56:41.475
6.04368046,50.77896688,9.75,35.099998474121094,36.0,245.0,0.054307758808135986,52.156864166259766,1046.0,83.52941131591797,27.0,,9.747136116027832,5.47424840927124,0.26987287402153015,Sat Mar 07 11:56:43 MEZ 2015,07Mär.2015 11:56:42.472
6.04354762,50.77898504,9.75,35.099998474121094,36.0,245.0,0.006787598133087158,52.156864166259766,1043.5,83.52941131591797,27.0,,9.817512512207031,5.597629070281982,0.2794574797153473,Sat Mar 07 11:56:44 MEZ 2015,07Mär.2015 11:56:43.473
6.04340457,50.77900339,10.0,36.0,36.0,246.0,0.04484003782272339,52.54901885986328,1046.0,83.52941131591797,27.0,,9.695012092590332,5.708369255065918,0.2897513210773468,Sat Mar 07 11:56:45 MEZ 2015,07Mär.2015 11:56:44.473
6.04326885,50.77901666,10.0,36.0,36.0,246.0,0.05989927053451538,52.54901885986328,1047.0,83.52941131591797,27.0,,9.870965003967285,5.817911148071289,0.29943689703941345,Sat Mar 07 11:56:46 MEZ 2015,07Mär.2015 11:56:45.474
